LUI,plot,depth,time,MB13C,MB15N,mbc,mbn,soilCf,soilCb,soilNf,soilNb
High intensity,e,asurface,92,35.72541518,33.40087726,48.7677228,5.632599097,0.56585521,0.697938021,0.450814929,0.653337805
Low intensity,f,asurface,92,25.28622688,20.29730036,41.93428725,6.256839387,0.568360008,0.702712965,0.39158315,0.523899612
Low intensity,g,asurface,92,18.23086856,16.73552283,34.04845314,5.232449077,0.446616519,0.557156383,0.339868275,0.462671697
Low intensity,h,asurface,92,27.86416456,24.19569946,48.71612897,7.604852698,0.716145215,0.900103963,0.444597662,0.553368986
Low intensity,i,asurface,92,43.43287488,29.22081977,57.04647045,7.606247907,0.699234408,0.813120263,0.436254365,0.574379532
Low intensity,j,asurface,92,11.6169995,11.03715939,27.92609644,4.583807864,0.411443889,0.540471251,0.345612299,0.505178233
High intensity,a,subsurface,92,5.221349458,1.00691819,24.25040461,1.24102229,0.148240549,0.299169899,0.101460036,0.139954197
High intensity,b,subsurface,92,4.902488118,2.168443308,36.74041279,2.452306622,0.098539757,0.187822785,0.071877428,0.139261936
High intensity,c,subsurface,92,8.725898757,2.360742565,34.12942823,1.833649528,0.170932837,0.273943972,0.111279338,0.191986833
High intensity,d,subsurface,92,4.214164491,2.011529909,25.32547637,1.971096073,0.09962604,0.182299208,0.078806067,0.107896999
High intensity,e,subsurface,92,7.366760127,4.710427196,27.47510855,2.353653658,0.197295343,0.295178662,0.141970307,0.18086569
Low intensity,f,subsurface,92,4.994177538,1.865137969,22.71263854,1.930542327,0.261831115,0.318276079,0.147515657,0.189419287
Low intensity,g,subsurface,92,5.006069918,1.923970655,23.87036522,2.267144224,0.280652343,0.326073464,0.146116591,0.187829932
Low intensity,h,subsurface,92,4.138210791,2.035954114,14.72820838,1.146772564,0.315809331,0.421528024,0.192738169,0.258177634
Low intensity,i,subsurface,92,6.934147919,2.25394366,38.99834365,3.393154883,0.20299668,0.228986382,0.113240094,0.142150141
Low intensity,j,subsurface,92,3.898281525,1.246683446,13.25363691,0.915097636,0.247866108,0.296516444,0.137967773,0.16951944
High intensity,a,asurface,238,10.93399675,7.515782384,28.0450556,2.305648158,0.464700923,0.736170966,0.429891752,0.632517475
High intensity,b,asurface,238,15.63057632,9.67081834,34.19519581,2.357766822,0.704479018,0.885794157,0.643100448,0.80505829
High intensity,c,asurface,238,8.900366985,5.595199375,29.18597263,1.981015939,0.359731587,0.479556284,0.333843552,0.446038068
High intensity,d,asurface,238,7.053188187,5.659614889,16.01983072,1.250116545,0.38916817,0.613718874,0.382348308,0.602517499
High intensity,e,asurface,238,12.5036034,6.572033476,26.10300859,1.762377525,0.466027886,0.625862495,0.419393383,0.536587857
Low intensity,f,asurface,238,5.569817296,3.285266578,16.50453724,1.527036633,0.375486589,0.515976586,0.304725831,0.406852974
Low intensity,g,asurface,238,3.550428608,3.176104778,13.20479305,1.578580968,0.281600477,0.455146736,0.236413347,0.364126005
Low intensity,h,asurface,238,7.613389532,4.562952042,12.17184035,0.91851329,0.556978348,0.77506292,0.467755165,0.619500659
Low intensity,i,asurface,238,4.902497668,2.407709467,21.21648769,1.387853638,0.348162111,0.515190289,0.307346146,0.411941195
Low intensity,j,asurface,238,6.212953375,2.994300026,19.42502786,2.223198634,0.315205418,0.318506399,0.207388666,0.231844035
High intensity,a,subsurface,238,4.612514526,2.803031211,25.22353689,2.647084511,0.162786864,0.221116893,0.128145377,0.142187705
High intensity,b,subsurface,238,8.343893235,3.751873406,46.50219054,3.182887344,0.133830242,0.251663041,0.172770724,0.23330142
High intensity,c,subsurface,238,5.575567327,2.653393867,27.62020388,1.63314998,0.246550967,0.200855377,0.205390897,0.211092293
High intensity,d,subsurface,238,5.793937615,2.365017079,35.08052107,2.058963173,0.14448627,0.192825115,0.131068394,0.178637656
High intensity,e,subsurface,238,8.341358313,3.52725231,38.65753595,1.961812706,0.274283233,0.469491606,0.206668558,0.255244056
Low intensity,f,subsurface,238,6.071952153,2.753681616,27.46649533,2.413721128,0.23893235,0.337339109,0.166520813,0.223834712
Low intensity,g,subsurface,238,4.469063229,1.892468439,21.8492849,1.539433525,0.183307204,0.27266524,0.142515105,0.169033404
Low intensity,h,subsurface,238,4.673918414,3.252236708,22.54465622,2.925891383,0.21378517,0.347519419,0.140658163,0.227089308
Low intensity,i,subsurface,238,9.573587443,2.911184822,38.72015713,3.081625053,0.371467828,0.468568188,0.256004069,0.325857389
Low intensity,j,subsurface,238,5.571239526,2.958836496,26.75188306,2.107934553,0.187169197,0.26060359,0.126905915,0.173358746
